nome_fifa_limpo,nome_ocidental_limpo,posicao,data_nascimento,clube,role...6,role...7,acted_as_sweeper,diving_save,goals_conceded,minutes_played,punches,saves,saves_inside_box,throws,accurate_passes,assists,chances_created,goals,pass_success,total_shots,blocked_shots,shot_accuracy,shot_off_target,shot_on_target,shots_woodwork,accurate_long_balls,crosses,key_passes,long_balls,passes,touches,aerials_lost,aerials_won,clearances,dispossessed,dribbles_attempted,dribbles_succeeded,duels_lost,duels_won,fouls,interceptions,recoveries,tackles_attempted,tackles_succeeded,was_fouled,is_a_sub,was_subbed,yellow_card,red_card,rating,name_limpo
oreilly nico,nico o'reilly,DF,2005-03-21,Manchester City FC (ENG),Defender,Defender,NA,NA,NA,45,NA,NA,NA,NA,36,0,0,0,97%,0,0,0%,0,0,0,1,0,0,1,37,41,0,1,1,0,0,0,0,1,1,1,3,0,0,0,1,0,NA,NA,6.2,eric bailly
koulibaly kalidou,kalidou koulibaly,DF,1991-06-20,Al Hilal SC (KSA),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,21,0,0,0,68%,0,0,0%,0,0,0,1,1,0,5,31,54,0,2,2,0,3,0,6,8,1,1,6,6,3,0,0,NA,NA,NA,5.8,rasmus kristensen
laros duarte,laros michael d'encarnacao duarte,MF,1997-02-28,Puskás Akadémia FC (HUN),Midfielder,Midfielder,NA,NA,NA,66,NA,NA,NA,NA,26,0,0,0,90%,0,0,0%,0,0,0,0,6,1,1,29,50,0,0,0,3,4,4,3,5,0,0,5,1,0,0,0,1,NA,NA,7,ken sema
amaimouni ayoube,ayoube amaimouni,FW,2004-11-30,Eintracht Frankfurt (GER),Attacker,Attacker,NA,NA,NA,80,NA,NA,NA,NA,16,0,1,1,84%,3,2,33%,0,1,0,0,0,0,0,19,46,3,1,0,4,4,1,15,7,3,0,2,3,3,2,0,1,NA,NA,7.2,anthony martial
piquerez joaquin,joaquin piquerez moreira,MF,1998-08-24,SE Palmeiras (BRA),Midfielder,Midfielder,NA,NA,NA,3,NA,NA,NA,NA,0,0,0,0,0,0,0,0%,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,antonio moya
arias santiago,santiago arias naranjo,DF,1992-01-13,CA Independiente (ARG),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,25,0,0,1,71%,1,0,100%,0,1,0,1,0,0,6,35,55,0,0,0,0,0,0,0,3,0,0,7,1,1,2,0,NA,NA,NA,6.3,giulio donati
digne lucas,lucas digne,DF,1993-07-20,Aston Villa FC (ENG),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,36,0,0,0,73%,0,0,0%,0,0,0,5,0,0,8,49,84,1,0,2,1,1,0,5,4,2,2,6,2,0,2,0,NA,NA,NA,6.4,cristian ramirez
chaine sipho,sipho justin chaine,GK,1996-12-14,Orlando Pirates FC (RSA),Keeper,Keeper,0,3,0,90,0,3,2,4,29,NA,NA,NA,,0,0,0%,0,0,0,3,0,0,9,35,43,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,NA,NA,NA,5.8,oliver baumann
mayele fiston,mayele fiston kalala,FW,1994-06-24,Pyramids FC (EGY),Attacker,Attacker,NA,NA,NA,80,NA,NA,NA,NA,6,0,0,0,86%,0,0,0%,0,0,0,0,1,0,0,7,17,3,0,0,1,0,0,4,5,0,0,0,0,0,5,0,1,NA,NA,7,aaron connolly
fassnacht christian,christian andreas fassnacht,FW,1993-11-11,BSC Young Boys (SUI),Attacker,Attacker,NA,NA,NA,10,NA,NA,NA,NA,2,0,0,0,67%,0,0,0%,0,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,NA,NA,6.1,alessandro murgia
ahmed fathy,ahmed fathy m abdoulla,MF,1993-01-25,Al Arabi SC (QAT),Midfielder,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,24,0,0,1,67%,1,0,100%,0,1,0,2,1,0,10,36,49,0,3,2,1,1,1,3,5,1,3,9,1,0,0,0,NA,NA,NA,7.8,miguel veloso
mabil awer,awer bul mabil,FW,1995-09-15,CD Castellón (ESP),Attacker,Attacker,NA,NA,NA,15,NA,NA,NA,NA,4,0,0,0,100%,1,0,0%,1,0,0,1,1,0,1,4,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,NA,NA,5.7,divock origi
basic ivan,ivan basic,MF,2002-04-30,FC Astana (KAZ),Midfielder,Midfielder,NA,NA,NA,26,NA,NA,NA,NA,17,0,0,0,77%,1,1,0%,0,0,0,0,0,2,0,22,30,3,2,0,0,0,0,3,4,0,0,4,2,2,0,1,0,NA,NA,6.6,lucas paqueta
vozinha,josimar jose evora dias,GK,1986-06-03,GD Chaves (POR),Keeper,Keeper,0,1,0,90,0,2,1,8,28,NA,NA,NA,,0,0,0%,0,0,0,8,0,0,18,39,50,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,NA,NA,NA,7.7,peter gulacsi
campaz jaminton,jaminton leandro campaz,FW,2000-05-24,CA Rosario Central (ARG),Attacker,Attacker,NA,NA,NA,90,NA,NA,NA,NA,21,0,1,1,75%,4,3,25%,0,1,0,3,0,1,3,28,44,1,1,1,1,4,1,6,3,1,0,3,1,1,0,0,NA,NA,NA,7.3,ciro immobile
livakovic dominik,dominik livakovic,GK,1995-01-09,GNK Dinamo Zagreb (CRO),Keeper,Keeper,0,0,0,90,0,0,0,11,18,NA,NA,NA,,0,0,0%,0,0,0,8,0,0,27,37,49,0,0,1,0,0,0,0,0,0,0,19,0,0,0,0,NA,NA,NA,5.3,marko dmitrovic
ashurmatov rustam,rustamjon ashurmatov,DF,1996-07-07,Esteghlal Tehran FC (IRN),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,66,0,1,0,93%,2,0,50%,1,1,0,6,0,1,8,71,80,0,4,4,0,1,1,1,5,1,1,6,0,0,0,0,NA,NA,NA,7,antonio rudiger
hadj mahmoud mohamed,mohamed belhadj mahmoud,MF,2000-04-24,FC Lugano (SUI),Midfielder,Midfielder,NA,NA,NA,29,NA,NA,NA,NA,1,0,0,0,17%,0,0,0%,0,0,0,0,0,0,1,6,15,0,2,1,0,1,0,1,5,0,0,1,2,2,1,1,1,NA,NA,6.3,mohamed fares
ramos jiovany,jiovany javier ramos diaz,DF,1997-01-26,Puerto Cabello CF (VEN),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,12,0,0,0,57%,0,0,0%,0,0,0,0,1,0,2,21,44,0,4,7,0,5,5,5,12,2,1,3,2,2,1,0,NA,1,NA,7.7,nicolas ioannou
ghoddos saman,seyed saman ghoddoos,MF,1993-09-06,Al Ittihad Kalba SCC (UAE),Midfielder,Midfielder,NA,NA,NA,7,NA,NA,NA,NA,2,0,0,0,67%,0,0,0%,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,NA,NA,NA,maxime gonalons
elliot callan,callan rennie elliot,DF,1999-07-07,Auckland FC (NZL),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,46,0,0,0,96%,0,0,0%,0,0,0,2,0,0,2,48,60,2,0,2,1,0,0,8,0,3,2,10,0,0,0,0,NA,NA,NA,5.4,christian luyindama
yusupov utkir,utkir yusupov,GK,1991-01-04,PFC Navbahor Namangan (UZB),Keeper,Keeper,0,0,0,90,0,0,0,3,27,NA,NA,NA,,0,0,0%,0,0,0,7,0,0,10,30,33,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,NA,NA,NA,4.8,peter gulacsi
lang noa,noa noell lang,FW,1999-06-17,Galatasaray SK (TUR),Attacker,Attacker,NA,NA,NA,90,NA,NA,NA,NA,30,2,2,0,73%,2,1,50%,0,1,0,1,0,3,1,41,66,1,2,1,4,7,3,11,7,0,0,4,2,2,0,0,NA,NA,NA,8.5,roberto firmino
metcalfe connor,connor isaac metcalfe,MF,1999-11-05,FC St. Pauli (GER),Midfielder,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,23,0,1,1,88%,2,0,50%,1,1,0,1,0,0,2,26,33,0,0,0,0,1,1,4,2,2,1,7,0,0,1,0,NA,NA,NA,7.5,carlos soler
debast zeno,zeno koen debast,DF,2003-10-24,Sporting CP (POR),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,9,0,0,0,60%,0,0,0%,0,0,0,0,1,0,4,15,37,0,4,4,0,1,0,3,9,2,1,4,5,5,0,0,NA,1,NA,7.5,javier manquillo
schmid romano,romano schmid,MF,2000-01-27,SV Werder Bremen (GER),Midfielder,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,33,0,0,0,80%,2,0,0%,2,0,0,2,1,1,3,41,62,3,0,1,1,3,1,11,5,3,2,10,4,3,0,0,NA,1,NA,6.4,abdoulaye doucoure
huerta cesar,cesar saul huerta valera,FW,2000-12-03,RSC Anderlecht (BEL),Attacker,Attacker,NA,NA,NA,70,NA,NA,NA,NA,12,0,0,0,92%,2,0,0%,2,0,0,0,0,0,0,13,22,1,1,0,1,0,0,4,4,2,0,0,0,0,4,0,1,NA,NA,6,joao felix
hussein ali,hussein haydar hussein ali,DF,2002-03-01,Pogoń Szczecin (POL),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,32,0,0,0,80%,0,0,0%,0,0,0,3,1,0,6,40,64,1,1,2,0,1,0,3,1,0,1,5,0,0,0,0,NA,NA,NA,5.5,jonjoe kenny
payne tim,timothy john payne,DF,1994-01-10,Wellington Phoenix FC (NZL),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,41,0,0,0,75%,0,0,0%,0,0,0,5,0,0,15,55,65,2,0,7,0,0,0,3,2,1,0,2,2,2,0,0,NA,NA,NA,6.8,tyrone mings
thomas ryan,ryan jared thomas,MF,1994-12-20,PEC Zwolle (NED),Midfielder,Midfielder,NA,NA,NA,30,NA,NA,NA,NA,18,0,0,0,82%,1,1,0%,0,0,0,3,9,2,5,22,40,1,0,0,0,0,0,2,2,0,0,4,2,1,0,1,0,NA,NA,6.2,hernani
lee kangin,kangin lee,MF,2001-02-19,Paris Saint-Germain (FRA),Midfielder,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,33,0,0,0,83%,2,1,0%,1,0,0,2,0,1,3,40,52,0,7,3,1,1,1,4,9,2,1,2,1,0,0,0,NA,NA,NA,7.2,marko grujic
trewin kai,kai clifton trewin,DF,2001-05-18,New York City FC (USA),Defender,Defender,NA,NA,NA,28,NA,NA,NA,NA,18,0,0,0,82%,0,0,0%,0,0,0,0,0,0,2,22,30,0,0,1,0,0,0,0,1,0,3,2,1,1,0,0,1,NA,NA,6.9,tony jantschke
experience martin,martin yves roberns didier experience,DF,1999-03-09,AS Nancy (FRA),Defender,Defender,NA,NA,NA,80,NA,NA,NA,NA,10,0,0,0,59%,1,0,0%,1,0,0,2,1,1,5,17,34,1,3,1,0,3,2,4,7,2,0,4,1,1,1,0,1,NA,NA,6.3,nicola murru
gabriel martinelli,gabriel teodoro martinelli silva,FW,2001-06-18,Arsenal FC (ENG),Attacker,Attacker,NA,NA,NA,90,NA,NA,NA,NA,22,0,1,1,76%,3,1,67%,0,2,0,0,0,2,0,29,42,1,0,0,2,1,0,7,2,1,0,2,0,0,2,0,NA,NA,NA,7.6,odion ighalo
cakir ugurcan,ugurcan cakir,GK,1996-04-05,Galatasaray SK (TUR),Keeper,Keeper,0,2,0,90,0,2,2,2,34,NA,NA,NA,,0,0,0%,0,0,0,13,0,0,23,44,50,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,NA,NA,NA,5.1,florian kastenmeier
doan ritsu,ritsu doan,MF,1998-06-16,Eintracht Frankfurt (GER),Midfielder,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,62,0,1,1,82%,2,0,50%,1,1,0,4,0,0,7,76,92,3,4,1,0,1,1,5,9,1,5,12,4,4,0,0,NA,NA,NA,8.4,geoffrey kondogbia
koopmeiners teun,teun koopmeiners,MF,1998-02-28,Juventus FC (ITA),Midfielder,Midfielder,NA,NA,NA,9,NA,NA,NA,NA,3,0,0,0,43%,0,0,0%,0,0,0,1,0,0,3,7,9,1,0,1,0,1,1,1,1,0,0,3,0,0,0,1,0,NA,NA,NA,fran merida
coufal vladimir,vladimir coufal,DF,1992-08-22,TSG Hoffenheim (GER),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,30,0,0,0,83%,1,1,0%,0,0,0,2,7,0,5,36,71,1,2,0,4,3,2,6,6,0,1,9,1,1,1,0,NA,NA,NA,6.4,jerome roussillon
leo pereira,leonardo pereira,DF,1996-01-31,CR Flamengo (BRA),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,61,0,0,0,94%,1,0,0%,1,0,0,4,0,0,6,65,76,1,1,2,0,0,0,5,4,2,3,12,1,1,2,0,NA,NA,NA,6.9,sergio ramos
sebelebele kamogelo,kamogelo michael sebelebele,FW,2002-07-21,Orlando Pirates FC (RSA),Attacker,Attacker,NA,NA,NA,31,NA,NA,NA,NA,8,0,0,0,62%,2,0,0%,2,0,0,0,3,0,0,13,23,1,1,0,0,2,1,2,2,0,0,2,0,0,0,1,0,NA,NA,5.8,darwin machis
mohamed kanno,mohamed ibrahim a kanno,MF,1994-09-22,Al Hilal SC (KSA),Midfielder,Midfielder,NA,NA,NA,82,NA,NA,NA,NA,44,0,0,0,85%,0,0,0%,0,0,0,2,1,0,3,52,62,2,4,1,1,0,0,9,6,6,0,3,2,2,0,0,1,1,NA,5.4,mehdi bourabia
alderete omar,omar federico alderete fernandez,DF,1996-12-26,Sunderland AFC (ENG),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,39,0,0,0,83%,1,1,0%,0,0,0,1,0,0,4,47,61,4,2,2,0,0,0,5,3,1,0,6,0,0,1,0,NA,NA,NA,4.1,jan-luca rumpf
diatta krepin,krepin diatta,DF,1999-02-25,AS Monaco (FRA),Defender,Defender,NA,NA,NA,21,NA,NA,NA,NA,5,0,0,0,83%,0,0,0%,0,0,0,0,1,0,0,6,12,0,1,2,0,0,0,0,1,0,1,4,0,0,0,1,0,NA,NA,6,ahmed el mohamady
iri danial,danial iri,DF,2003-10-26,Malavan Anzali FC (IRN),Defender,Defender,NA,NA,NA,3,NA,NA,NA,NA,1,0,0,0,100%,0,0,0%,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,NA,NA,NA,manfred gollner
gill orlando,orlando daniel gill noldin,GK,2000-06-11,CA San Lorenzo (ARG),Keeper,Keeper,0,0,2,90,0,0,0,2,14,NA,NA,NA,,0,0,0%,0,0,0,6,0,0,10,18,21,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,NA,NA,NA,5,aaron ramsdale
jimenez raul,raul alonso jimenez rodriguez,FW,1991-05-05,Fulham FC (ENG),Attacker,Attacker,NA,NA,NA,14,NA,NA,NA,NA,9,0,0,0,100%,1,0,0%,1,0,0,0,0,0,0,9,13,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,NA,NA,6.3,ruben loftus-cheek
abdi ali,ali elabdi,DF,1993-12-20,OGC Nice (FRA),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,46,0,0,0,96%,0,0,0%,0,0,0,1,5,1,2,48,79,1,0,1,0,1,1,4,5,2,0,4,1,1,3,0,NA,1,NA,6.8,jamal lewis
asare benjamin,benjamin asare,GK,1992-07-13,Hearts Of Oak SC (GHA),Keeper,Keeper,0,3,0,90,0,3,2,1,14,NA,NA,NA,,0,0,0%,0,0,0,8,0,1,17,23,32,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,NA,NA,NA,7.7,salvatore sirigu
okon-engstler paul,paul michael junior okon-engstler,MF,2005-01-24,Sydney FC (AUS),Midfielder,Midfielder,NA,NA,NA,15,NA,NA,NA,NA,1,0,0,0,25%,0,0,0%,0,0,0,0,0,0,0,4,8,0,0,2,0,0,0,2,2,0,0,1,2,0,0,1,0,NA,NA,5.8,masaya okugawa
abdullah alhamddan,abdullah abdulrahman a alhamddan,FW,1999-09-13,Al Nassr FC (KSA),Attacker,Attacker,NA,NA,NA,90,NA,NA,NA,NA,3,0,0,0,33%,2,0,0%,2,0,0,0,4,0,2,9,25,1,0,1,0,1,0,3,1,1,1,3,1,1,0,0,NA,1,NA,6.5,marco richter
muslera fernando,nestor fernando muslera micol,GK,1986-06-16,Estudiantes LP (ARG),Keeper,Keeper,0,1,0,90,0,2,1,9,34,NA,NA,NA,,0,0,0%,0,0,0,5,0,0,8,37,52,0,1,3,0,0,0,0,1,0,0,14,0,0,0,0,NA,NA,NA,7.9,manuel neuer
mohamed salah,mohamed salah hamed mahrous ghaly,FW,1992-06-15,Liverpool FC (ENG),Attacker,Attacker,NA,NA,NA,7,NA,NA,NA,NA,3,0,0,0,75%,0,0,0%,0,0,0,0,0,0,0,4,7,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,NA,NA,NA,joshua sargent
hien isak,isak malcolm kwaku hien,DF,1999-01-13,Atalanta Bergamo (ITA),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,61,0,0,0,91%,0,0,0%,0,0,0,8,0,0,9,67,78,2,2,6,0,0,0,4,3,2,2,4,1,0,0,0,NA,NA,NA,7,shkodran mustafi
operi christopher,christopher tea domoraud operi,DF,1997-04-29,Başakşehir FK (TUR),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,32,0,0,0,82%,0,0,0%,0,0,0,8,0,0,11,39,48,1,1,3,0,0,0,3,3,0,1,3,2,2,0,0,NA,NA,NA,6.9,craig cathcart
yirenkyi caleb,caleb marfo yirenkyi,MF,2006-01-15,FC Nordsjælland (DEN),Midfielder,Midfielder,NA,NA,NA,45,NA,NA,NA,NA,19,0,0,0,90%,1,0,0%,1,0,0,0,0,1,0,21,30,0,2,1,0,2,1,2,4,1,1,1,0,0,1,1,0,NA,NA,6.5,mason greenwood
sanabria antonio,arnaldo antonio sanabria ayala,FW,1996-03-04,US Cremonese (ITA),Attacker,Attacker,NA,NA,NA,90,NA,NA,NA,NA,53,0,0,0,90%,3,1,0%,2,0,0,4,1,0,4,59,93,0,1,1,0,5,2,5,7,1,4,7,4,2,0,0,NA,NA,NA,7.8,alphonso davies
stroud elliot,elliot karl stroud,DF,2002-06-22,Mjällby AIF (SWE),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,43,0,0,0,81%,0,0,0%,0,0,0,2,0,0,9,53,62,4,2,2,0,0,0,5,5,0,1,3,1,1,2,0,NA,NA,NA,6.8,dejan lovren
ciss pathe,ismaila pathe ciss,MF,1994-03-16,Rayo Vallecano (ESP),Midfielder,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,31,0,0,0,82%,3,2,0%,1,0,0,3,7,2,4,38,57,0,2,0,0,1,1,3,5,0,2,3,0,0,2,0,NA,NA,NA,6.9,peter michorl
patterson nathan,nathan kenneth patterson,DF,2001-10-16,Everton FC (ENG),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,47,0,0,0,82%,0,0,0%,0,0,0,4,0,0,8,57,72,2,2,12,0,0,0,3,2,1,0,6,0,0,0,0,NA,NA,NA,7.1,dedryck boyata
seko ayumu,ayumu seko,DF,2000-06-07,Le Havre AC (FRA),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,76,0,0,0,99%,1,0,100%,0,1,0,5,0,0,6,77,91,1,0,7,0,0,0,3,0,2,3,1,0,0,0,0,NA,1,NA,6.5,marlon
suarez luis,luis javier suarez charris,FW,1997-12-02,Sporting CP (POR),Attacker,Attacker,NA,NA,NA,4,NA,NA,NA,NA,2,0,0,0,100%,0,0,0%,0,0,0,1,0,0,1,2,6,0,0,0,0,1,0,3,1,0,0,0,1,1,0,1,0,NA,NA,NA,florian kainz
aebischer michel,michel aebischer,MF,1997-01-06,Pisa SC (ITA),Midfielder,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,41,0,1,0,89%,4,2,0%,2,0,0,3,10,3,4,46,80,1,1,2,1,3,1,7,4,3,1,5,1,0,2,0,NA,NA,NA,7.2,lorenzo pellegrini
david jonathan,jonathan christian david,FW,2000-01-14,Juventus FC (ITA),Attacker,Attacker,NA,NA,NA,90,NA,NA,NA,NA,12,0,1,1,67%,1,0,100%,0,1,0,0,0,0,1,18,34,2,0,0,0,3,1,6,3,2,0,3,0,0,2,0,NA,NA,NA,7.4,sergi guardiola
berg patrick,patrick berg,MF,1997-11-24,FK Bodø/Glimt (NOR),Midfielder,Midfielder,NA,NA,NA,105,NA,NA,NA,NA,30,0,0,0,79%,1,0,0%,1,0,0,1,0,0,4,38,58,0,1,1,0,3,2,7,7,2,2,6,2,0,2,0,1,1,NA,7,andy rinomhota
taniguchi shogo,shogo taniguchi,DF,1991-07-15,Sint-Truiden VV (BEL),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,75,0,0,0,89%,0,0,0%,0,0,0,6,1,0,8,84,99,1,1,2,0,0,0,3,2,1,3,1,1,0,0,0,NA,NA,NA,6.8,tony jantschke
bakambu cedric,cedric bakambu,FW,1991-04-11,Real Betis (ESP),Attacker,Attacker,NA,NA,NA,74,NA,NA,NA,NA,13,0,0,0,87%,1,1,0%,0,0,0,0,4,0,0,15,30,0,0,0,1,1,1,2,3,0,1,3,1,0,1,0,1,1,NA,6.1,moussa diaby
montiel gonzalo,gonzalo ariel montiel,DF,1997-01-01,CA River Plate (ARG),Defender,Defender,NA,NA,NA,69,NA,NA,NA,NA,36,0,0,0,86%,0,0,0%,0,0,0,1,3,1,3,42,58,2,1,0,0,0,0,4,1,2,2,1,0,0,0,0,1,NA,NA,6,mario gaspar
burgess cameron,cameron robert burgess,DF,1995-10-21,Swansea City AFC (WAL),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,32,0,0,0,82%,2,0,0%,2,0,0,2,0,1,6,39,56,0,4,7,0,2,1,4,6,3,3,4,1,1,0,0,NA,NA,NA,7.2,maximilian wober
ben hmida mohamed amine,mohamed amine ben hmida,DF,1995-12-15,Espérance De Tunisie (TUN),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,46,0,0,0,75%,0,0,0%,0,0,0,3,0,0,10,61,73,2,5,6,0,0,0,3,8,0,1,11,2,2,2,0,NA,NA,NA,4.6,jan bednarek
pubill marc,marc pubill pages,DF,2003-06-20,Atlético De Madrid (ESP),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,25,0,0,0,83%,2,1,50%,0,1,0,3,0,0,4,30,51,1,0,3,1,3,1,4,4,0,0,6,1,1,2,0,NA,NA,NA,6.5,mohamed mady camara
senaya marvin,marvin elom senaya,DF,2001-01-28,AJ Auxerre (FRA),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,18,0,0,0,60%,0,0,0%,0,0,0,1,1,0,4,30,64,7,1,3,0,0,0,10,5,2,3,4,2,0,2,0,NA,NA,NA,5.5,nacho monreal
jashari ardon,ardon jashari,MF,2002-07-30,AC Milan (ITA),Midfielder,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,43,0,0,0,80%,1,0,100%,0,1,0,0,1,0,0,54,66,0,0,1,0,2,1,2,3,1,1,6,0,0,2,0,NA,NA,NA,6.6,davy klaassen
stanisic josip,josip stanisic,DF,2000-04-02,FC Bayern München (GER),Defender,Defender,NA,NA,NA,55,NA,NA,NA,NA,11,0,0,0,61%,1,0,0%,1,0,0,0,2,1,2,18,45,0,0,1,0,1,0,3,2,0,1,3,1,1,1,0,1,NA,NA,6.8,erik pieters
ounahi azzedine,azz-eddine ounahi,MF,2000-04-19,Girona FC (ESP),Midfielder,Midfielder,NA,NA,NA,87,NA,NA,NA,NA,19,0,0,0,100%,4,0,25%,3,1,0,0,3,1,0,19,43,3,0,0,0,3,3,4,11,1,2,8,4,1,4,0,1,NA,NA,7.9,joao victor
maidana alexandro,alexandro maidana mendieta,DF,2005-07-26,CA Talleres (ARG),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,30,0,0,0,81%,1,0,0%,1,0,0,1,0,0,6,37,49,2,3,4,0,0,0,4,7,0,0,3,4,3,0,0,NA,NA,NA,7.3,angelo ogbonna
herrington lucas,lucas herrington,DF,2007-09-05,Colorado Rapids (USA),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,90,0,0,0,95%,1,0,0%,1,0,0,3,0,0,4,95,111,3,3,6,0,0,0,4,6,0,3,11,3,3,0,0,NA,NA,NA,7.5,nico elvedi
fidalgo alvaro,alvaro fidalgo fernandez,MF,1997-04-09,Real Betis (ESP),Midfielder,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,67,0,0,0,96%,1,1,0%,0,0,0,2,0,0,3,70,89,3,3,2,0,2,2,4,8,0,5,12,2,1,1,0,NA,NA,NA,5.3,omar mascarell
martinez lisandro,lisandro martinez,DF,1998-01-18,Manchester United FC (ENG),Defender,Defender,NA,NA,NA,90,NA,NA,NA,NA,19,0,0,0,76%,0,0,0%,0,0,0,3,0,0,5,25,33,2,3,4,0,0,0,3,3,1,0,0,0,0,0,0,NA,NA,NA,6.5,simon francis
vite pedro,pedro jeampierre vite uca,MF,2002-03-09,Pumas UNAM (MEX),Midfielder,Midfielder,NA,NA,NA,45,NA,NA,NA,NA,19,0,0,0,73%,0,0,0%,0,0,0,0,0,1,1,26,30,2,0,0,0,0,0,3,0,0,1,5,0,0,0,0,1,NA,NA,4.6,carlos sanchez
mckenna scott,scott fraser mckenna,DF,1996-11-12,GNK Dinamo Zagreb (CRO),Defender,Defender,NA,NA,NA,1,NA,NA,NA,NA,1,0,1,1,100%,1,0,100%,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,martin aguirregabiria
kramaric andrej,andrej kramaric,FW,1991-06-19,TSG Hoffenheim (GER),Attacker,Attacker,NA,NA,NA,85,NA,NA,NA,NA,20,0,0,0,77%,1,0,0%,1,0,0,1,0,1,1,26,44,1,2,2,1,2,0,10,5,4,0,7,2,2,1,0,1,1,NA,6.4,carlos fernandez
strand larsen jorgen,jorgen strand larsen,FW,2000-02-06,Crystal Palace FC (ENG),Attacker,Attacker,NA,NA,NA,16,NA,NA,NA,NA,9,0,0,0,69%,0,0,0%,0,0,0,0,1,0,2,13,15,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,NA,NA,6.1,admir mehmedi
francisco conceicao,francisco fernandes da conceicao,FW,2002-12-14,Juventus FC (ITA),Attacker,Attacker,NA,NA,NA,25,NA,NA,NA,NA,4,0,0,0,57%,1,0,0%,1,0,0,0,0,0,0,7,11,4,2,0,1,0,0,5,2,0,0,0,0,0,0,1,0,NA,NA,5.3,taiwo awoniyi
timber quinten,quinten ryan crispito timber,MF,2001-06-17,Olympique Marseille (FRA),Midfielder,Midfielder,NA,NA,NA,90,NA,NA,NA,NA,34,0,1,0,92%,4,1,0%,2,0,0,5,2,3,6,37,52,0,1,0,0,0,0,4,4,0,1,7,3,0,0,0,NA,NA,NA,6.9,rolando mandragora
marko farji,marko jabbar hussein hussein,FW,2004-03-16,Venezia FC (ITA),Attacker,Attacker,NA,NA,NA,90,NA,NA,NA,NA,9,0,1,1,90%,3,0,67%,1,2,0,0,0,1,0,10,32,2,1,0,1,5,2,9,6,3,1,4,3,2,0,0,NA,NA,NA,7.8,gabriel martinelli
rodriguez kevin,kevin jose rodriguez cortez,FW,2000-03-04,Royale Union Saint-Gilloise (BEL),Attacker,Attacker,NA,NA,NA,71,NA,NA,NA,NA,32,1,1,1,74%,2,0,100%,0,2,0,2,1,2,3,43,63,1,0,0,3,9,5,8,6,0,1,2,0,0,1,0,1,NA,NA,8.4,jadon sancho
